,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX,,
2206,20180508,59.9882,60.8689,59.6946,59.6953,2947160,0.9698,56.3667,26.4973,x,
2207,20180509,59.401,59.6946,58.2267,58.2274,2787480,0.9442,67.6921,26.3162,x,
2208,20180510,58.6181,58.9117,54.4102,55.2916,4433980,0.8954,67.436,27.3252,x,
2209,20180511,55.2909,56.7588,53.3337,56.6616,3954360,0.9161,72.5151,28.5249,x,
2210,20180514,56.9545,57.2481,55.6823,57.0531,1522180,0.9208,65.9812,29.3368,x,
2211,20180515,57.0524,58.5203,56.9545,57.4445,2498910,0.925,63.6154,29.3319,x,
2212,20180516,57.2481,57.6395,55.7802,55.7809,2368960,0.8965,60.1536,29.682,x,
2213,20180517,55.7802,56.1716,54.9973,55.5851,2079780,0.8916,62.1265,30.2324,x,
2214,20180518,55.6823,55.8781,53.6273,55.2916,2437850,0.8853,55.995,31.1143,x,
2215,20180521,55.2909,56.1716,54.508,54.5087,1835620,0.8714,46.5685,31.7421,x,
2216,20180522,53.7251,54.3123,50.8872,52.2579,3235250,0.8347,31.5007,33.1818,x,
2217,20180523,51.8658,53.3337,50.8872,53.3343,2045320,0.851,26.9062,34.5187,x,
2218,20180524,53.3337,53.6273,51.8658,52.16,1312180,0.8317,19.5371,35.5602,x,
2219,20180525,52.2572,52.5508,48.93,48.9306,2718610,0.7801,12.7807,37.1292,x,
2220,20180528,47.9514,48.5386,45.7985,45.799,4579370,0.7306,8.7411,39.0709,x,
2221,20180529,46.4835,48.93,45.7985,48.9306,2610350,0.7807,20.7489,40.6268,x,
2222,20180530,49.9086,51.6701,49.4193,50.8878,4432950,0.8119,33.1941,40.4976,x,
2223,20180531,50.3979,53.3337,50.3,52.9429,3736400,0.8444,50.4688,39.5625,x,
2224,20180601,52.9423,56.2695,52.7465,55.7809,5930650,0.8893,70.4688,37.4645,x,
2225,20180604,55.2909,58.3246,54.8016,58.0317,3837380,0.9245,90.4688,34.7887,x,
2226,20180605,57.346,58.3246,56.4652,57.3466,3532580,0.913,97.492,32.304,x,
2227,20180606,56.8567,58.4224,56.3674,57.836,2183260,0.9202,98.6903,30.0326,x,
2228,20180607,57.7374,58.031,57.1502,57.4445,2538580,0.9135,97.7379,27.9234,x,
2229,20180608,57.0524,59.1074,57.0524,58.4231,2693680,0.9283,97.7379,26.3974,x,
2230,20180611,58.1288,59.0096,57.2481,57.7381,2453150,0.9169,96.5905,24.9804,x,
2231,20180612,57.2481,57.7374,55.2909,56.7595,3024500,0.9014,94.7875,23.5932,x,
2232,20180613,56.3674,58.6181,56.3674,58.6188,2054850,0.9307,95.1282,21.9113,x,
2233,20180614,58.6181,58.6181,56.7588,56.8573,2814340,0.9028,93.158,20.3495,x,
2234,20180615,56.2695,57.7374,56.1716,57.7381,2557670,0.9166,90.8555,19.1765,x,
2235,20180618,57.6395,57.7374,54.8016,55.2916,2461860,0.8783,81.5369,18.6972,x,
2236,20180619,53.3337,55.2909,52.8444,55.2916,5149160,0.8787,69.0455,19.0042,x,
2237,20180620,55.7802,57.4438,54.9973,56.8573,2767440,0.9034,58.8343,18.1935,x,
2238,20180621,56.7588,56.9545,55.193,55.7809,1637920,0.8865,45.0135,17.4407,x,
2239,20180622,54.8995,57.4438,54.3123,57.4445,2529630,0.9132,40.7465,17.1102,x,
2240,20180625,58.716,58.9117,57.6395,58.1295,2415610,0.9247,48.629,16.0689,x,
2241,20180626,57.2481,58.1288,56.7588,58.0317,1346430,0.9243,60.6158,15.4892,x,
2242,20180627,57.7374,59.2053,56.7588,56.7595,2602270,0.9056,58.5817,14.4249,x,
2243,20180628,55.7802,57.4438,55.7802,56.6616,2114670,0.9055,62.3935,13.8811,x,
2244,20180629,56.6609,57.4438,55.5845,56.7595,1439520,0.9084,56.7705,13.4647,x,
2245,20180702,56.2695,57.1502,54.2144,56.8573,2846420,0.9111,47.9464,13.6767,x,
2246,20180703,57.0524,57.0524,54.8016,54.8023,3355250,0.8797,31.2229,13.8735,x,
2247,20180704,54.9973,55.2909,53.5294,54.4108,2452480,0.875,23.4683,14.5898,x,
2248,20180705,54.2144,54.4102,50.8872,50.8878,2865870,0.8197,16.3999,16.1606,x,
2249,20180706,50.0065,54.2144,49.4193,53.8236,3443450,0.868,18.6848,18.0298,x,
2250,20180709,53.823,55.193,52.8444,52.845,1434270,0.8535,17.8939,19.1443,x,
2251,20180710,54.3123,54.3123,51.9637,51.9643,1360490,0.8405,23.6935,20.4442,x,
2252,20180711,50.7893,51.3765,49.0279,50.1049,3312190,0.8117,25.5911,22.3994,x,
2253,20180712,51.2786,52.453,49.4193,51.2793,1422890,0.8322,31.5012,23.5612,x,
2254,20180713,52.1594,53.7251,50.8872,53.6279,1709410,0.8716,34.639,23.9165,x,
2255,20180716,53.823,54.3123,53.138,53.7258,1302130,0.8748,43.208,23.9247,x,
2256,20180717,52.8444,54.6059,52.8444,54.6065,1594780,0.8907,56.9336,23.9323,x,
2257,20180718,54.6059,56.2695,54.6059,56.2702,2473610,0.9198,75.036,23.0247,x,
2258,20180719,56.4652,56.5631,55.4866,55.5851,1704000,0.9108,87.0718,22.0291,x,
2259,20180720,55.5845,55.9759,53.9209,55.5851,2204900,0.9132,91.7876,21.7509,x,
2260,20180723,55.3888,57.1502,55.2909,55.3894,2618240,0.9125,92.7171,20.8647,x,
2261,20180724,55.7802,56.1716,54.8016,55.7809,1683260,0.9212,91.7397,20.251,x,
2262,20180725,56.0738,56.1716,54.1166,54.1172,1257900,0.8961,83.9752,19.9722,x,
2263,20180726,54.2144,55.4866,53.3337,55.4873,2107890,0.9204,83.2249,20.0364,x,
2264,20180727,55.4866,56.0738,54.9973,55.2916,979280,0.9194,81.7339,19.7347,x,
2265,20180730,55.7802,56.1716,55.2909,56.0745,1288790,0.9343,83.7265,19.3929,x,
2266,20180731,55.8781,58.031,55.5845,57.2488,3438180,0.9556,85.1788,18.0266,x,
2267,20180801,57.8353,57.9331,57.1502,57.3466,1902040,0.9591,92.9433,16.7579,x,
2268,20180802,56.9545,57.7374,56.4652,57.7381,1855340,0.9677,95.7477,15.9253,x,
2269,20180803,58.2267,58.4224,56.8567,57.2488,1770230,0.9617,95.4256,14.8325,x,
2270,20180806,56.9545,58.3246,56.9545,57.7381,1782410,0.9722,95.1823,13.8178,x,
2271,20180807,57.5417,60.5753,57.346,60.1846,5488590,1.0155,95.1823,14.0962,x,
2272,20180808,60.2818,61.0646,59.6946,60.7718,2193510,1.0276,95.1823,14.5822,x,
2273,20180809,60.7711,61.3582,59.9882,59.9889,2508810,1.0165,91.2159,15.1713,x,
2274,20180810,59.6946,62.1411,59.6946,62.1418,3849630,1.0548,95.0831,16.0793,x,
2275,20180813,61.6518,62.4347,60.8689,62.4354,2397270,1.0615,96.0336,17.0552,x,
2276,20180814,62.4347,62.4347,61.3582,61.4568,1274800,1.0465,90.6115,17.9614,x,
2277,20180815,61.8475,62.0432,59.2053,59.3039,3238040,1.0114,74.9926,17.1373,x,
2278,20180816,58.716,59.6946,57.6395,59.3039,3426320,1.0133,60.7061,16.3924,x,
2279,20180817,59.7925,61.5539,59.4989,60.6739,2711770,1.0383,46.7402,15.7812,x,
2280,20180820,60.6732,61.1625,60.086,60.0868,1601770,1.0298,29.2287,15.2136,x,
2281,20180821,59.6946,61.3582,59.6946,61.359,1724610,1.0531,22.5709,14.4385,x,
2282,20180822,61.4561,61.6518,60.5753,60.5761,1490660,1.0411,21.2992,13.892,x,
2283,20180823,60.6732,61.4561,60.2818,61.2611,1301270,1.0549,25.6673,13.1818,x,
2284,20180824,61.2604,61.2604,60.4775,60.6739,1779380,1.047,22.0341,12.5224,x,
2285,20180827,61.1625,62.1411,61.0646,61.7504,1805900,1.0674,26.8132,12.4908,x,
2286,20180828,62.1411,62.924,61.5539,62.6312,2588320,1.0844,29.8386,12.9322,x,
2287,20180829,62.5325,62.7283,61.7497,61.7504,1117930,1.071,31.7831,13.342,x,
2288,20180830,61.7497,62.8261,61.0646,62.4354,1336350,1.0848,33.7696,13.1233,x,
2289,20180831,62.4347,62.6304,60.6732,61.1632,1949400,1.0648,31.3687,12.5919,x,
2290,20180904,61.1625,61.2604,59.5967,59.6953,2050280,1.0411,24.101,12.116,x,
2291,20180905,59.6946,60.4775,59.0096,59.3039,1766180,1.0361,13.1556,12.0815,x,
2292,20180906,59.3032,59.6946,58.9117,59.0103,796450,1.0323,8.1018,12.1175,x,
2293,20180907,58.8139,60.8689,58.8139,60.6739,1595530,1.0621,8.1467,11.3352,x,
2294,20180910,60.6732,61.2604,59.7925,60.6739,1505560,1.063,16.2934,10.9054,x,
2295,20180911,60.1839,61.7497,60.1839,61.6525,1543540,1.0805,28.92,10.8682,x,
2296,20180912,61.8475,62.239,61.1625,61.2611,1590110,1.0733,39.2634,11.1825,x,
2297,20180913,61.4561,62.0432,61.2604,61.5547,1069800,1.0787,51.0191,11.4743,x,
2298,20180914,61.8475,63.0218,61.8475,62.6312,2405940,1.0967,59.5582,12.4244,x,
2299,20180917,62.6304,62.6304,61.5539,61.5547,1007490,1.0773,61.423,12.9948,x,
