<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CVPB2102,20210317,4.85,5.1,4.85,5.0,149700
CVPB2103,20210317,5.2,5.55,5.2,5.5,164900
VIB,20210316,43.9,44.0,43.4,43.5,323100
VPB,20210316,44.8,44.8,43.4,44.35,5495600
VCB,20210316,96.0,96.0,95.1,95.7,655800
TPB,20210316,28.8,28.9,28.2,28.5,3011500
STB,20210316,18.95,19.15,18.75,18.9,23799400
TCB,20210316,40.1,40.2,39.3,39.85,11577300
OCB,20210316,24.75,24.75,24.2,24.7,3542700
LPB,20210316,16.35,16.4,15.95,16.15,9225100
MBB,20210316,29.1,29.15,28.35,28.65,12749900
MSB,20210316,21.5,21.9,21.0,21.9,6608200
EIB,20210316,18.45,18.45,18.1,18.4,277100
HDB,20210316,26.8,26.9,26.5,26.8,4549400
CTG,20210316,38.15,38.2,37.65,37.7,7061600
ACB,20210316,33.4,33.7,33.05,33.45,6112900
BID,20210316,43.0,43.2,42.3,42.4,2223700
CEIB2001,20210316,0.57,0.57,0.47,0.5,92500
CHDB2007,20210316,3.22,3.34,3.22,3.33,393300
CHDB2008,20210316,2.18,2.2,2.11,2.2,186000
CHDB2101,20210316,1.92,1.92,1.8,1.92,11600
CMBB2008,20210316,12.5,12.6,12.1,12.1,36500
CMBB2009,20210316,7.19,7.28,6.9,7.01,95600
CMBB2010,20210316,13.15,13.4,12.8,13.0,151200
CMBB2101,20210316,4.0,4.09,3.83,3.83,222300
CSTB2006,20210316,3.15,3.15,2.98,3.13,174600
CSTB2007,20210316,4.07,4.13,3.96,4.13,972800
CSTB2010,20210316,3.69,3.85,3.65,3.75,102100
CSTB2011,20210316,4.54,4.57,4.33,4.4,66900
CSTB2012,20210316,6.04,6.14,5.75,5.93,549100
CSTB2014,20210316,7.45,7.49,7.4,7.45,123700
CSTB2016,20210316,2.56,2.69,2.56,2.69,48300
CSTB2017,20210316,4.1,4.25,4.0,4.1,36600
CSTB2101,20210316,2.48,2.48,2.3,2.45,70200
CSTB2102,20210316,3.2,3.3,3.0,3.2,130000
CSTB2103,20210316,2.59,2.7,2.49,2.54,215500
CTCB2009,20210316,17.4,17.4,17.1,17.1,77600
CTCB2010,20210316,9.27,9.32,9.05,9.3,61000
CTCB2012,20210316,19.0,19.05,18.3,18.63,102400
CTCB2013,20210316,17.27,17.48,16.51,17.18,218800
CTCB2101,20210316,12.36,12.36,12.2,12.36,7200
CTCB2102,20210316,5.12,5.14,3.74,5.04,221400
CTCB2103,20210316,5.2,5.3,5.0,5.28,363400
CVPB2010,20210316,19.0,19.0,18.5,18.5,200
CVPB2011,20210316,10.36,10.36,10.2,10.26,14300
CVPB2012,20210316,10.53,10.53,10.31,10.53,4600
CVPB2013,20210316,16.0,16.2,15.2,16.2,9500
CVPB2015,20210316,19.22,19.5,18.59,19.12,357200
CVPB2016,20210316,17.53,17.59,17.1,17.49,34800
CVPB2017,20210316,1.31,1.44,1.31,1.44,172900
CVPB2101,20210316,5.14,5.14,4.8,5.03,65800
CVPB2102,20210316,4.88,5.0,4.83,4.93,97900
CVPB2103,20210316,5.4,5.48,5.26,5.42,128400
TCB,20210315,40.2,40.5,39.9,40.1,8638500
STB,20210315,19.2,19.35,18.9,18.9,22954100
LPB,20210315,16.5,16.55,16.25,16.35,7894300
MBB,20210315,28.4,28.9,28.2,28.9,23273400
HDB,20210315,26.65,26.8,26.55,26.65,2840700
EIB,20210315,18.5,18.5,18.4,18.45,391500
CTG,20210315,38.0,38.2,37.75,38.0,6762100
BID,20210315,43.5,43.6,42.8,43.0,2779700
ACB,20210315,33.0,33.85,32.6,33.5,18052500
CEIB2001,20210315,0.6,0.6,0.51,0.59,171500
CHDB2007,20210315,3.27,3.35,3.23,3.25,476100
CHDB2008,20210315,2.25,2.25,2.14,2.18,49800
CHDB2101,20210315,1.96,1.96,1.81,1.92,11800
CMBB2008,20210315,11.95,12.4,11.8,12.4,52600
CMBB2009,20210315,5.71,7.2,5.71,7.1,170100
CMBB2010,20210315,12.9,13.5,12.6,13.0,219500
CMBB2101,20210315,4.1,4.1,3.98,3.99,232200
CSTB2006,20210315,3.16,3.21,3.06,3.15,32300
CSTB2007,20210315,4.21,4.23,4.05,4.07,316200
CSTB2010,20210315,3.8,3.98,3.75,3.76,89000
CSTB2011,20210315,4.6,4.7,4.02,4.54,138700
CSTB2012,20210315,6.24,6.24,6.09,6.12,60900
CSTB2014,20210315,7.62,7.75,7.45,7.45,41800
CSTB2016,20210315,2.67,2.89,2.62,2.68,52300
CSTB2017,20210315,4.2,4.35,4.1,4.1,25200
CSTB2101,20210315,2.51,2.51,2.45,2.49,22500
CSTB2102,20210315,2.3,3.29,2.3,3.2,45600
CSTB2103,20210315,2.5,2.52,2.4,2.49,447000
CTCB2009,20210315,17.0,17.35,17.0,17.32,22300
CTCB2010,20210315,9.31,9.5,9.25,9.42,200700
CTCB2012,20210315,18.87,19.2,18.74,19.0,114100
CTCB2013,20210315,17.34,17.66,17.21,17.52,90800
CTCB2101,20210315,12.3,12.5,12.3,12.49,20500
CTCB2102,20210315,5.17,5.17,4.9,5.14,213400
CTCB2103,20210315,4.8,5.2,4.8,5.11,639000
CVPB2010,20210315,17.0,18.3,17.0,18.0,1100
CVPB2011,20210315,10.2,10.69,10.2,10.5,48700
CVPB2012,20210315,10.86,11.0,10.83,10.83,20400
CVPB2013,20210315,16.5,16.8,16.1,16.2,6800
CVPB2015,20210315,19.05,20.0,18.84,19.59,39000
CVPB2016,20210315,17.56,17.79,17.34,17.79,18100
CVPB2017,20210315,1.51,1.51,1.39,1.44,136200
CVPB2101,20210315,5.18,5.18,4.72,5.08,80400
CVPB2102,20210315,4.89,5.1,4.86,5.05,174100
CVPB2103,20210315,5.2,5.68,5.2,5.49,465100
MSB,20210315,20.95,21.5,20.85,21.5,11402000
OCB,20210315,24.9,25.05,24.5,24.8,6493900
TPB,20210315,28.7,29.0,28.65,28.7,4597200
VCB,20210315,96.0,97.0,95.5,96.3,1438400
VIB,20210315,43.9,44.0,43.6,43.7,496100
VPB,20210315,44.5,45.0,43.9,44.8,5081100
VPB,20210312,44.1,45.0,43.75,44.5,8652300
VCB,20210312,96.3,96.5,94.5,95.8,1259800
VIB,20210312,43.35,44.0,43.35,43.45,445400
TPB,20210312,28.65,29.15,28.55,28.6,5823500
TCB,20210312,40.4,40.5,39.75,40.05,8046800
STB,20210312,19.4,19.5,19.0,19.2,19941500
OCB,20210312,24.1,24.7,23.9,24.7,7448700
LPB,20210312,16.1,16.6,16.05,16.5,19801800
MBB,20210312,28.4,28.45,28.15,28.25,16339100
MSB,20210312,21.0,21.05,20.6,20.8,4610100
HDB,20210312,26.5,26.85,26.45,26.65,4051500
EIB,20210312,18.4,18.45,18.3,18.4,292800
CTG,20210312,38.35,38.5,37.95,37.95,6997500
BID,20210312,43.5,43.7,43.1,43.35,2536400
ACB,20210312,33.0,33.05,32.65,32.95,5195500
CEIB2001,20210312,0.75,0.75,0.63,0.63,178400
CHDB2007,20210312,3.2,3.34,3.2,3.22,292100
CHDB2008,20210312,2.13,2.2,2.13,2.19,125800
CHDB2101,20210312,1.95,2.0,1.9,1.95,34400
CMBB2008,20210312,12.0,12.0,11.9,12.0,44300
CMBB2009,20210312,6.8,6.85,6.75,6.75,70700
CMBB2010,20210312,12.7,12.8,12.58,12.58,202400
CMBB2101,20210312,3.9,4.2,3.9,4.07,165500
CSTB2006,20210312,3.35,3.35,3.12,3.16,38000
CSTB2007,20210312,4.29,4.31,4.13,4.13,341600
CSTB2010,20210312,3.94,4.1,3.83,3.84,62800
CSTB2011,20210312,4.55,4.69,4.4,4.5,240700
CSTB2012,20210312,6.35,6.49,6.19,6.19,373900
CSTB2014,20210312,7.9,7.9,7.57,7.62,179000
CSTB2016,20210312,2.9,2.9,2.66,2.67,121600
CSTB2017,20210312,4.6,4.6,4.25,4.3,27800
CSTB2101,20210312,2.5,2.53,2.46,2.5,58000
CSTB2102,20210312,3.45,3.45,3.01,3.25,130200
CSTB2103,20210312,2.25,2.58,2.25,2.4,2640000
CTCB2009,20210312,17.4,17.4,17.0,17.17,2600
CTCB2010,20210312,9.45,9.45,9.31,9.31,14300
CTCB2012,20210312,19.21,19.22,18.77,18.77,144600
CTCB2013,20210312,17.7,17.7,17.31,17.31,147900
CTCB2101,20210312,12.4,12.6,12.4,12.5,38600
CTCB2102,20210312,5.08,5.2,4.9,5.1,256300
CTCB2103,20210312,4.6,5.0,4.6,4.77,1335300
CVPB2010,20210312,18.65,20.0,18.65,19.99,3500
CVPB2011,20210312,10.47,10.6,10.15,10.15,301000
CVPB2012,20210312,10.92,10.92,10.75,10.75,31400
CVPB2013,20210312,16.9,16.9,16.1,16.7,28400
CVPB2015,20210312,19.0,19.9,19.0,19.05,51700
CVPB2016,20210312,17.5,18.22,17.21,17.21,291500
CVPB2017,20210312,1.55,1.6,1.45,1.5,107600
CVPB2101,20210312,5.14,5.18,4.95,5.12,113900
CVPB2102,20210312,4.89,5.2,4.88,5.02,322800
CVPB2103,20210312,4.81,5.95,4.81,5.3,493000
VPB,20210311,42.5,44.4,42.2,43.75,7863700
VIB,20210311,43.8,43.8,43.2,43.25,338700
VCB,20210311,95.8,96.8,95.8,96.3,1009800
TPB,20210311,28.75,28.85,28.5,28.6,5008800
STB,20210311,19.0,19.35,18.85,19.3,34594300
TCB,20210311,39.7,40.5,39.45,40.15,15369300
OCB,20210311,24.15,24.4,23.8,24.3,6384900
LPB,20210311,16.05,16.2,15.9,16.05,8092200
MBB,20210311,28.25,28.5,28.1,28.25,16459200
MSB,20210311,20.0,21.0,19.9,21.0,8762500
HDB,20210311,26.5,26.6,26.1,26.4,3621700
EIB,20210311,18.4,18.4,18.25,18.4,329200
CTG,20210311,37.95,38.45,37.8,38.2,7639300
ACB,20210311,33.0,33.1,32.75,33.0,7124300
BID,20210311,42.7,43.6,42.55,43.3,1672400
CEIB2001,20210311,0.85,0.85,0.73,0.75,79900
CHDB2007,20210311,3.15,3.3,3.1,3.23,306300
CHDB2008,20210311,2.25,2.25,2.07,2.11,83200
CHDB2101,20210311,1.9,1.94,1.9,1.94,38800
CMBB2008,20210311,12.0,12.0,11.43,11.9,33700
CMBB2009,20210311,6.83,6.83,6.7,6.75,145400
CMBB2010,20210311,12.5,12.75,12.5,12.58,142500
CMBB2101,20210311,4.2,4.31,4.07,4.2,220000
CSTB2006,20210311,3.0,3.27,3.0,3.27,278900
CSTB2007,20210311,4.13,4.25,4.02,4.25,461700
CSTB2010,20210311,3.95,3.95,3.71,3.94,269400
CSTB2011,20210311,4.26,4.52,4.2,4.52,367200
CSTB2012,20210311,6.05,6.35,5.95,6.35,382900
CSTB2014,20210311,7.65,7.9,7.4,7.9,400800
CSTB2016,20210311,2.74,2.84,2.68,2.7,28500
CSTB2017,20210311,3.85,4.45,3.85,4.45,85800
CSTB2101,20210311,2.5,2.5,2.4,2.49,69100
CSTB2102,20210311,3.5,3.5,3.25,3.45,260900
CSTB2103,20210311,2.92,2.92,2.92,2.92,56000
CTCB2009,20210311,17.2,17.3,16.7,17.3,54900
CTCB2010,20210311,9.0,9.66,9.0,9.42,154500
CTCB2012,20210311,18.42,19.3,18.37,19.17,582500
CTCB2013,20210311,16.94,17.89,16.74,17.5,59300
CTCB2101,20210311,12.0,12.5,12.0,12.4,32700
CTCB2102,20210311,5.05,5.1,4.98,5.08,277600
CTCB2103,20210311,5.38,6.0,4.72,6.0,257700
CVPB2010,20210311,18.0,18.7,16.0,18.65,2000
CVPB2011,20210311,9.32,10.25,9.29,10.1,141400
CVPB2012,20210311,9.8,10.63,9.8,10.63,32100
CVPB2013,20210311,14.8,16.44,14.8,16.1,30900
CVPB2015,20210311,17.24,19.09,17.24,18.75,88100
CVPB2016,20210311,16.59,17.6,16.59,17.0,31600
CVPB2017,20210311,1.3,1.52,1.3,1.43,81900
CVPB2101,20210311,4.96,5.15,4.94,5.14,128600
CVPB2102,20210311,4.75,4.94,4.45,4.83,382100
CVPB2103,20210311,5.84,6.0,4.69,6.0,430500
VIB,20210310,42.85,43.05,42.8,42.95,319900
VPB,20210310,41.9,42.4,41.3,42.0,3655900
VCB,20210310,95.0,95.8,94.0,95.5,1063900
TPB,20210310,28.45,28.65,28.0,28.45,2567700
STB,20210310,18.65,18.9,18.4,18.7,18970000
TCB,20210310,39.0,39.4,38.5,39.3,9050000
OCB,20210310,23.5,24.3,23.4,24.15,8341400
MSB,20210310,19.8,19.95,19.6,19.95,2986000
LPB,20210310,15.7,16.25,15.65,15.95,12470100
MBB,20210310,27.4,28.1,27.1,27.95,21590100
HDB,20210310,25.95,26.2,25.6,26.1,2806700
EIB,20210310,18.15,18.4,18.05,18.4,220200
CTG,20210310,37.25,37.8,37.05,37.55,7468500
BID,20210310,42.0,42.2,41.4,42.0,2056500
ACB,20210310,32.1,33.2,31.9,32.75,12152700
CEIB2001,20210310,0.85,0.85,0.83,0.85,74500
CHDB2007,20210310,3.06,3.12,2.95,3.09,349600
CHDB2008,20210310,2.03,2.14,1.96,2.14,218100
CHDB2101,20210310,1.9,1.92,1.8,1.9,25600
CMBB2008,20210310,11.0,11.69,10.5,11.3,46900
CMBB2009,20210310,6.27,6.78,6.27,6.55,139300
CMBB2010,20210310,12.0,12.5,11.63,12.32,306200
CMBB2011,20210310,11.25,12.02,11.25,11.86,19100
CMBB2101,20210310,4.0,4.23,3.9,4.2,263800
CSTB2006,20210310,2.9,3.04,2.8,3.0,74300
CSTB2007,20210310,3.9,4.07,3.83,3.97,339700
CSTB2010,20210310,3.61,3.8,3.61,3.77,123900
CSTB2011,20210310,4.16,4.24,3.81,4.16,188000
CSTB2012,20210310,5.65,6.0,5.45,5.85,129600
CSTB2013,20210310,6.58,6.78,6.58,6.58,387800
CSTB2014,20210310,7.4,7.6,7.0,7.2,225600
CSTB2016,20210310,2.39,2.7,2.39,2.55,117400
CSTB2017,20210310,4.1,4.5,3.4,4.11,81900
CSTB2101,20210310,2.3,2.5,2.3,2.4,9500
CSTB2102,20210310,2.53,3.35,2.53,3.28,191000
CSTB2103,20210310,2.27,2.27,1.66,2.27,304200
CTCB2009,20210310,13.9,17.0,13.9,16.79,1500
CTCB2010,20210310,8.81,9.0,8.8,9.0,39600
CTCB2012,20210310,17.86,18.2,17.54,17.91,227600
CTCB2013,20210310,16.19,16.57,16.0,16.51,101000
CTCB2101,20210310,11.5,12.2,11.5,12.0,14100
CTCB2102,20210310,4.76,5.0,4.76,4.98,116500
CTCB2103,20210310,5.38,5.38,3.9,5.38,831600
CVPB2010,20210310,17.2,17.78,17.2,17.78,1000
CVPB2011,20210310,9.07,9.2,9.0,9.2,12200
CVPB2012,20210310,9.44,9.8,9.44,9.8,10500
CVPB2013,20210310,14.4,14.5,14.25,14.5,25500
CVPB2015,20210310,16.63,17.25,16.5,17.05,29200
CVPB2016,20210310,15.24,15.44,15.14,15.44,26000
CVPB2017,20210310,1.32,1.39,1.24,1.3,208600
CVPB2101,20210310,4.96,4.96,4.7,4.94,80400
CVPB2102,20210310,3.9,4.88,3.9,4.45,165700
CVPB2103,20210310,4.41,5.84,4.25,5.84,658200
VPB,20210309,41.0,42.5,40.5,41.8,5754000
VCB,20210309,95.0,95.0,93.1,95.0,1344300
VIB,20210309,43.0,43.3,42.7,43.0,321700
TPB,20210309,28.2,28.8,27.8,28.4,3367100
TCB,20210309,38.6,39.3,38.2,38.95,10594100
STB,20210309,18.5,18.7,18.3,18.55,14770300
MSB,20210309,19.6,19.8,19.5,19.8,2822800
LPB,20210309,15.5,15.95,15.35,15.7,8925400
MBB,20210309,27.2,27.55,27.0,27.3,12179900
HDB,20210309,25.85,26.1,25.25,25.95,2548600
EIB,20210309,18.15,18.4,18.15,18.4,173700
CTG,20210309,37.9,37.9,37.1,37.2,10113900
BID,20210309,42.4,42.4,41.5,41.85,2430700
ACB,20210309,31.5,32.3,31.1,32.05,8819900
CEIB2001,20210309,1.0,1.0,0.93,0.95,172700
CHDB2007,20210309,2.93,3.1,2.92,3.06,238700
CHDB2008,20210309,2.0,2.11,1.95,2.03,62000
CHDB2101,20210309,1.9,1.9,1.83,1.9,15300
CMBB2008,20210309,10.8,11.15,10.0,11.15,24100
CMBB2009,20210309,6.29,6.4,6.09,6.4,152200
CMBB2010,20210309,11.9,12.04,11.6,12.04,72800
CMBB2011,20210309,11.26,11.43,11.08,11.43,15300
CMBB2101,20210309,4.28,4.28,3.86,4.1,262100
CSTB2006,20210309,3.02,3.02,2.77,2.99,29000
CSTB2007,20210309,4.05,4.05,3.85,3.9,156200
CSTB2010,20210309,3.59,3.8,3.42,3.8,64900
CSTB2011,20210309,3.95,4.15,3.86,4.15,113600
CSTB2012,20210309,5.45,5.9,5.4,5.9,316800
CSTB2013,20210309,6.43,6.6,6.33,6.58,337500
CSTB2014,20210309,7.0,7.46,7.0,7.01,168400
CSTB2016,20210309,2.65,2.7,2.32,2.65,15300
CSTB2017,20210309,3.2,4.0,3.2,4.0,9400
CSTB2101,20210309,2.52,2.52,2.1,2.4,34800
CSTB2102,20210309,3.2,3.5,3.2,3.5,150600
CSTB2103,20210309,2.07,2.07,1.53,1.65,4635600
CTCB2009,20210309,14.0,16.5,14.0,16.5,15900
CTCB2010,20210309,8.7,8.92,8.5,8.84,16800
CTCB2012,20210309,17.7,17.8,17.08,17.67,153800
CTCB2013,20210309,15.82,16.33,15.53,16.0,125800
CTCB2101,20210309,12.2,12.2,11.5,12.2,55900
CTCB2102,20210309,4.45,5.0,4.45,4.95,275200
CTCB2103,20210309,4.45,4.45,3.69,4.03,3615000
CVPB2010,20210309,16.63,17.8,16.63,17.21,2300
CVPB2011,20210309,8.62,9.2,8.5,9.2,46900
CVPB2012,20210309,9.2,9.8,8.84,9.8,117800
CVPB2013,20210309,14.4,14.4,13.9,14.4,37900
CVPB2015,20210309,16.2,17.31,15.58,16.5,87200
CVPB2016,20210309,14.28,15.23,14.0,14.98,36200
CVPB2017,20210309,1.4,1.5,1.32,1.32,170500
CVPB2101,20210309,4.65,4.99,4.6,4.95,120800
CVPB2102,20210309,6.39,6.39,4.3,4.97,155200
CVPB2103,20210309,4.44,4.44,3.99,4.39,1714400
OCB,20210309,21.45,22.95,21.2,22.95,15494500
VPB,20210308,41.9,42.5,40.9,41.35,3558200
VCB,20210308,97.0,97.0,95.0,95.2,1501800
VIB,20210308,43.9,43.9,43.0,43.15,486000
TPB,20210308,28.8,29.2,28.4,28.5,4699200
TCB,20210308,39.5,39.7,38.5,38.85,10807100
STB,20210308,19.0,19.15,18.5,18.6,13653100
OCB,20210308,21.4,21.5,21.25,21.45,4842400
MSB,20210308,19.85,19.9,19.5,19.8,2667300
HDB,20210308,26.2,26.3,25.85,25.95,2950800
EIB,20210308,18.5,18.55,18.2,18.45,551800
CTG,20210308,38.4,38.6,37.55,37.9,7574900
ACB,20210308,32.5,32.7,31.55,31.8,16047000
BID,20210308,43.4,43.4,42.3,42.45,1595300
CEIB2001,20210308,1.16,1.16,1.05,1.05,29700
CHDB2007,20210308,3.15,3.2,3.04,3.1,225200
CHDB2008,20210308,2.34,2.34,2.05,2.15,93000
CHDB2101,20210308,1.86,2.0,1.85,1.9,42200
CMBB2008,20210308,11.2,11.9,11.19,11.2,28900
CMBB2009,20210308,6.44,6.54,6.29,6.29,103200
CMBB2010,20210308,12.5,12.6,11.95,12.3,102500
CMBB2011,20210308,11.63,11.78,11.58,11.65,11100
CMBB2101,20210308,4.3,4.5,4.0,4.28,203600
CSTB2006,20210308,3.11,3.15,3.02,3.02,48000
CSTB2007,20210308,3.99,4.16,3.95,4.05,285400
CSTB2010,20210308,3.73,3.85,3.73,3.78,99500
CSTB2011,20210308,4.3,4.7,3.95,3.95,134300
CSTB2012,20210308,6.01,6.3,5.86,5.9,170900
CSTB2013,20210308,7.0,7.1,6.59,6.64,156700
CSTB2014,20210308,8.0,8.0,7.44,7.48,146300
CSTB2016,20210308,2.75,2.85,2.7,2.7,15400
CSTB2017,20210308,4.6,4.65,4.1,4.2,58200
CSTB2101,20210308,2.8,2.8,2.51,2.52,34800
CSTB2102,20210308,4.5,4.5,3.3,3.4,479900
CTCB2009,20210308,17.1,17.1,16.4,16.5,32400
CTCB2010,20210308,8.95,9.2,8.72,8.9,47100
CTCB2012,20210308,18.6,18.6,17.62,17.7,295200
CTCB2013,20210308,16.53,16.6,16.0,16.32,467300
CTCB2101,20210308,12.5,12.5,12.0,12.0,9600
CTCB2102,20210308,5.04,5.22,4.91,4.93,166800
CVPB2010,20210308,17.5,17.5,16.5,16.5,5200
CVPB2011,20210308,9.5,9.5,8.75,8.78,18300
CVPB2012,20210308,9.55,9.55,9.1,9.1,3500
CVPB2013,20210308,14.1,14.1,13.8,14.05,2200
CVPB2015,20210308,16.89,16.89,16.0,16.18,36800
CVPB2016,20210308,15.17,15.27,14.51,14.51,121400
CVPB2017,20210308,1.9,1.9,1.47,1.6,36300
CVPB2101,20210308,5.03,5.2,4.88,4.99,97800
CVPB2102,20210308,6.17,6.17,4.94,4.97,247400
LPB,20210308,16.0,16.0,15.6,15.7,8146600
MBB,20210308,27.7,27.85,27.25,27.6,14809500
VPB,20210305,40.9,41.9,40.5,41.8,3581200
VCB,20210305,97.1,97.2,95.0,96.4,1661600
VIB,20210305,42.0,43.5,40.8,43.3,509000
TPB,20210305,28.2,29.0,27.7,28.5,6168400
TCB,20210305,38.9,39.35,38.3,39.2,11169600
STB,20210305,18.35,18.85,18.15,18.7,24861800
MSB,20210305,19.65,19.8,19.25,19.8,1846600
OCB,20210305,20.5,21.15,20.5,21.15,3108500
LPB,20210305,15.25,15.9,15.15,15.75,11077600
MBB,20210305,27.1,27.5,26.8,27.35,19035300
HDB,20210305,26.2,26.3,25.6,25.85,5045400
EIB,20210305,18.6,18.6,18.05,18.5,214100
CTG,20210305,38.1,38.45,37.5,38.0,10156400
BID,20210305,42.75,43.3,42.0,42.4,1857200
ACB,20210305,32.1,32.6,31.6,32.45,10157000
CEIB2001,20210305,1.2,1.2,1.09,1.17,81900
CHDB2007,20210305,3.1,3.16,2.99,3.15,312700
CHDB2008,20210305,2.3,2.3,1.43,2.16,181500
CHDB2101,20210305,1.91,2.0,1.9,2.0,13300
CMBB2008,20210305,10.55,11.15,10.55,11.15,41100
CMBB2009,20210305,5.99,6.44,5.94,6.44,206700
CMBB2010,20210305,11.58,12.2,11.24,12.2,163800
CMBB2011,20210305,11.0,11.15,10.85,11.15,17700
CMBB2101,20210305,3.95,4.9,3.7,4.22,447500
CSTB2006,20210305,3.06,3.06,2.68,3.06,127500
CSTB2007,20210305,3.83,4.15,3.7,4.15,347500
CSTB2010,20210305,3.7,3.8,3.3,3.8,263600
CSTB2011,20210305,4.19,4.3,3.79,4.3,413600
CSTB2012,20210305,5.42,6.1,5.16,6.1,170500
CSTB2013,20210305,6.28,6.8,5.56,6.73,229800
CSTB2014,20210305,7.0,7.5,6.67,7.5,240400
CSTB2016,20210305,2.6,2.75,2.5,2.75,30200
CSTB2017,20210305,4.0,4.3,4.0,4.25,37400
CSTB2101,20210305,2.55,2.6,2.2,2.6,112900
CSTB2102,20210305,3.27,3.28,2.6,3.28,1138100
CTCB2009,20210305,16.5,17.0,16.5,17.0,14200
CTCB2010,20210305,8.4,9.0,8.2,9.0,140100
CTCB2012,20210305,18.0,18.5,17.5,18.5,353900
CTCB2013,20210305,16.4,16.75,15.7,16.5,153300
CTCB2101,20210305,11.2,12.5,11.2,12.5,42200
CTCB2102,20210305,5.0,5.1,4.77,5.04,401400
CVPB2010,20210305,14.66,17.0,14.66,17.0,2300
CVPB2011,20210305,9.23,9.25,8.64,9.25,33600
CVPB2012,20210305,9.41,9.42,8.93,9.4,25000
CVPB2013,20210305,13.35,14.8,11.51,14.8,6900
CVPB2015,20210305,16.0,16.85,15.99,16.8,88300
CVPB2016,20210305,14.3,15.0,14.19,14.88,83900
CVPB2017,20210305,1.7,1.71,1.65,1.7,121000
CVPB2101,20210305,5.4,5.4,4.9,5.03,82300
CVPB2102,20210305,4.7,4.72,4.1,4.72,1195100
VPB,20210304,42.0,42.75,40.0,41.5,7501300
VCB,20210304,98.6,99.5,93.1,97.3,1118100
VIB,20210304,43.2,43.25,41.7,42.0,1035500
TPB,20210304,29.8,29.9,28.5,28.65,4032100
STB,20210304,19.05,19.15,18.3,18.35,23543500
TCB,20210304,40.4,40.5,38.6,39.05,16228300
MSB,20210304,20.3,20.3,19.35,19.6,3571700
OCB,20210304,21.0,21.05,20.6,20.65,2509400
LPB,20210304,15.95,16.1,15.1,15.5,17022800
MBB,20210304,28.0,28.2,26.9,27.15,23153000
EIB,20210304,18.8,18.8,18.1,18.6,338600
HDB,20210304,26.9,27.0,25.8,26.2,4433800
CTG,20210304,39.0,39.0,37.5,38.3,10315800
ACB,20210304,33.4,33.4,32.05,32.4,9814000
BID,20210304,44.0,44.25,42.3,42.75,2089500
CEIB2001,20210304,1.1,1.2,1.09,1.09,71800
CHDB2007,20210304,3.35,3.4,3.0,3.16,670700
CHDB2008,20210304,2.31,2.34,2.0,2.0,57100
CHDB2101,20210304,2.0,2.19,2.0,2.0,28000
CMBB2008,20210304,11.9,12.0,10.4,10.65,12500
CMBB2009,20210304,6.7,6.7,5.6,5.6,144700
CMBB2010,20210304,12.68,12.8,11.5,11.58,379900
CMBB2011,20210304,12.0,12.1,10.9,10.9,50700
CMBB2101,20210304,4.39,4.5,3.8,4.0,512800
CSTB2006,20210304,3.13,3.29,2.86,3.06,73300
CSTB2007,20210304,4.15,4.17,3.87,3.9,183300
CSTB2010,20210304,3.83,3.94,3.56,3.7,172300
CSTB2011,20210304,4.7,4.7,4.11,4.12,224900
CSTB2012,20210304,6.07,6.2,5.1,5.5,129200
CSTB2013,20210304,6.9,6.98,6.4,6.4,153800
CSTB2014,20210304,7.62,7.62,6.98,7.0,204200
CSTB2016,20210304,2.9,2.9,2.5,2.6,92900
CSTB2017,20210304,4.52,4.52,4.2,4.2,45000
CSTB2101,20210304,2.75,2.75,2.5,2.55,57500
CTCB2009,20210304,17.5,17.5,16.0,16.5,24400
CTCB2010,20210304,9.42,9.5,8.5,8.5,93400
CTCB2012,20210304,19.18,19.41,17.5,18.24,290600
CTCB2013,20210304,17.57,17.62,16.12,16.4,238100
CTCB2101,20210304,12.7,12.7,11.8,12.0,39000
CTCB2102,20210304,5.4,5.4,4.95,5.0,347600
CVPB2010,20210304,17.8,18.1,17.5,17.5,5300
CVPB2011,20210304,9.31,9.8,9.0,9.23,74300
CVPB2012,20210304,9.5,10.06,7.98,7.98,37800
CVPB2013,20210304,13.88,15.0,12.7,14.0,67200
CVPB2015,20210304,16.7,17.77,15.5,16.1,195000
CVPB2016,20210304,15.1,16.0,14.35,14.35,38200
CVPB2017,20210304,1.9,1.98,1.77,1.93,26900
CVPB2101,20210304,5.25,5.28,4.8,5.0,119400
ACB,20210303,32.9,33.45,32.7,33.25,9072300
BID,20210303,44.05,44.2,43.7,43.8,1583800
CEIB2001,20210303,1.3,1.3,1.16,1.22,52900
CHDB2007,20210303,3.22,3.5,3.22,3.39,620100
CHDB2008,20210303,2.3,2.48,2.29,2.43,158600
CHDB2101,20210303,2.15,2.17,2.1,2.14,127100
CMBB2008,20210303,12.0,12.2,11.51,11.9,12700
CMBB2009,20210303,6.7,6.82,6.62,6.7,195400
CMBB2010,20210303,12.9,13.0,12.4,12.68,173800
CMBB2011,20210303,12.0,12.15,11.95,12.05,34700
CMBB2101,20210303,4.51,4.59,4.37,4.5,494800
CSTB2006,20210303,3.3,3.3,3.17,3.29,12200
CSTB2007,20210303,4.16,4.29,4.11,4.15,348600
CSTB2010,20210303,3.83,3.9,3.82,3.9,201000
CSTB2011,20210303,4.89,5.0,4.64,4.7,153500
